movieId,title,genres
1,The Quantum Quest (2016),Action|Adventure|Sci-Fi
2,Echoes of the Night (1995),Drama|Mystery|Thriller
3,The Last Voyage of the Titanic (2004),Action|Adventure|Crime
4,City of Shadows (1985),Fantasy|Animation|Mystery
5,The Silent Witness (2023),Drama|Thriller|Crime
6,Galactic Odyssey (1980),Sci-Fi|Adventure|Mystery
7,The Shadows of Tomorrow (2024),Action|Drama|Horror
8,Starlight's Echoes (1967),Adventure|Fantasy|Romance
9,The Dark Remnant (2013),Thriller|Mystery|Crime
10,The Forgotten Island (1978),Adventure|Sci-Fi|Drama
11,The Shadowlands of the Sun (2018),Action|Adventure|Fantasy
12,Whispers in the Nightfall (1995),Mystery|Crime|Thriller
13,The Lost Kingdom of the Golden Sun (2023),Action|Adventure|Fantasy
14,Moonlit Shadows in Silver Moonlight (1987),Horror|Mystery|Drama
15,The Night's Whispering Echoes (2005),Fantasy|Adventure|Romance
16,Sunset in the Dark Forests (1984),Action|Adventure|Crime
17,The Phantom's Last Dance (2020),Fantasy|Mystery|Romance
18,Eclipse of the Sunlit Moon (1975),Adventure|Science-Fiction|Sci-Fi
19,The Silver Thread in Shadow's Veil (2003),Action|Drama|Romance
20,Whispers of the Night Moon (1976),Horror|Adventure|Mystery
21,The Phoenix Conspiracy (2019),Action|Adventure
22,The Silent Hourglass (2021),Fantasy|Horror|Thriller
23,The Last Remnant (1997),Mystery|Drama
24,The Neon Soul (2005),Action|Adventure|Animation
25,The Forgotten Hourglass (1986),Drama|Romance
26,The Timekeeper's Gambit (2023),Adventure|Sci-Fi
27,The Invisible Hourglass (1984),Fantasy|Mystery
28,The Lost Remnant (2007),Action|Drama|Crime
29,The Time's Keeper (1985),Adventure|Mystery
30,The Unseen Hourglass (2013),Fantasy|Horror|Drama
